epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1203.31,1.80052,1.58284,1.44021,0.64029,0.50325,0.57085,0.30146,1.80125,1.19279,1.36322,0.008911,0.008911,0.008911
57,1225.21,1.80009,1.56595,1.4399,0.6045,0.54309,0.59767,0.28114,1.81817,1.21343,1.37551,0.0088912,0.0088912,0.0088912
58,1246.44,1.78461,1.54924,1.42267,0.60632,0.57327,0.59684,0.31279,1.80473,1.1899,1.35973,0.0088714,0.0088714,0.0088714
59,1267.97,1.79128,1.54943,1.42442,0.62805,0.56238,0.60067,0.3232,1.73132,1.17849,1.33206,0.0088516,0.0088516,0.0088516
60,1289.23,1.78201,1.56685,1.42617,0.59854,0.55638,0.59715,0.31877,1.75907,1.20466,1.33677,0.0088318,0.0088318,0.0088318
61,1310.27,1.75838,1.51877,1.40282,0.56199,0.61415,0.58614,0.31305,1.81825,1.18073,1.34547,0.008812,0.008812,0.008812
62,1331.33,1.78109,1.53453,1.42514,0.58565,0.54967,0.59331,0.30785,1.81138,1.18269,1.36151,0.0087922,0.0087922,0.0087922
63,1352.41,1.76568,1.5209,1.41544,0.54711,0.60596,0.56975,0.2789,1.81458,1.2168,1.37536,0.0087724,0.0087724,0.0087724
64,1373.46,1.75871,1.52579,1.41034,0.60201,0.57057,0.60161,0.29376,1.81388,1.17955,1.36714,0.0087526,0.0087526,0.0087526
65,1394.56,1.74204,1.48105,1.40117,0.56607,0.62215,0.62056,0.3147,1.74649,1.17323,1.32571,0.0087328,0.0087328,0.0087328
66,1415.58,1.74351,1.50583,1.40106,0.6172,0.61627,0.62133,0.33047,1.79192,1.15189,1.34671,0.008713,0.008713,0.008713
67,1436.79,1.73042,1.48277,1.39202,0.6033,0.59035,0.61807,0.33937,1.70139,1.15516,1.30269,0.0086932,0.0086932,0.0086932
68,1457.95,1.73633,1.47838,1.39475,0.66506,0.54919,0.6026,0.31615,1.81115,1.17426,1.36484,0.0086734,0.0086734,0.0086734
69,1479,1.73218,1.47557,1.3879,0.62303,0.6166,0.61747,0.31138,1.7573,1.17451,1.33082,0.0086536,0.0086536,0.0086536
70,1500.21,1.72946,1.45649,1.38818,0.61155,0.60761,0.59545,0.29948,1.79688,1.19053,1.35371,0.0086338,0.0086338,0.0086338
71,1521.23,1.7028,1.44285,1.37092,0.60205,0.57185,0.6003,0.31381,1.79535,1.16173,1.34612,0.008614,0.008614,0.008614
72,1542.31,1.71808,1.4599,1.38711,0.58574,0.60585,0.621,0.33632,1.75532,1.14445,1.32419,0.0085942,0.0085942,0.0085942
73,1563.4,1.71658,1.44049,1.38843,0.51693,0.62982,0.6217,0.33613,1.7171,1.1229,1.31098,0.0085744,0.0085744,0.0085744
74,1584.5,1.70422,1.44481,1.38464,0.61728,0.57079,0.62216,0.33268,1.79532,1.15659,1.35337,0.0085546,0.0085546,0.0085546
75,1605.58,1.69978,1.4247,1.38116,0.61499,0.59978,0.63617,0.34778,1.74685,1.10927,1.31726,0.0085348,0.0085348,0.0085348
76,1626.74,1.70886,1.45002,1.38041,0.52949,0.62326,0.60937,0.33248,1.72956,1.11959,1.30931,0.008515,0.008515,0.008515
77,1647.84,1.70533,1.43643,1.37231,0.58231,0.60533,0.62013,0.33518,1.76401,1.11748,1.32348,0.0084952,0.0084952,0.0084952
78,1668.85,1.70137,1.43335,1.37674,0.58163,0.59279,0.61948,0.34673,1.73438,1.08959,1.31704,0.0084754,0.0084754,0.0084754
